"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"130","rocks & minerals","","C137","Complex drumlins of the Peterborough Drumlin Field","","44.15589",-78.25882,"This area is well known for the presence of ‘complex drumlins’ within the axis of the PDF which lies north and west of Rice Lake toward the City of Peterborough. This area illustrates how large ovoid drumlins evolve into ‘conjoined flutes’ of various planforms as the drumlinized till bed was lowered and dissected by subglacial erosion below fast flowing ice.  Prominent grooves visible on the flanks of drumlins and straightened drumlin margins may record erosion of larger more ovoid drumlins by erosive streams of remobilised subglacial debris being moved to the ice margin.","n",NA,NA,NA,NA,NA,"n",14,"",4,1,"sitePictures/C137a.png","sitePictures/C137b.png","sitePictures/C137c.png","sitePictures/C137d.png"
"131","Earth History","","C138","Peterborough Drumlin Field","Viewpoint","44.15016",-78.31527,"The Peterborough Drumlin Field (PDF) lies within a broad bedrock depression defined by regional block faulting of Paleozoics by reactivation of underlying Precambrian basement. This depression may have been instrumental in trapping glaciolacustrine sediment prior to Late Wisconsin expansion of the Ontario Lobe allowing the formation of thick till when overridden as the ice sheet expanded (see site ).  This site affords a view to the northwest across the axis of the PDF to its western limit defined by rising ground likely resulting from regional block faulting of underlying Precambrian basement structures. The PDF occupies a broad depression and this likely played a role in allowing accumulation of thick glaciolacustrine sediments prior to the Late Wisconsin maximum; much of this has been reworked with limestone debris quarried and plucked form limestone escarpments on the hard bed to the north, creating thick till (Northern Till).  Several workers have pointed out that drift drumlins are cut across this till and appear to be erosional in origin related to late stage fast ice flow (sites <a href=""/C139"">C139</a>, <a href=""/C140"">C140</a>, <a href=""/C141"">C141</a>, <a href=""/C142"">C142</a>, <a href=""/C143"">C143</a>, <a href=""/C144"">C144</a>).","n",NA,NA,NA,NA,NA,"n",14,"",6,1,"sitePictures/C138a.png","sitePictures/C138b.png","sitePictures/C138c.png","sitePictures/C138d.png"
"132","rocks & minerals","","C139","Bisected drumlin","","44.2812",-77.71682,"Highway 8 cuts across an excellent example of a large ovoid drumlin.","y",44.2812,-77.71682,65.33824773,0,-12.79378395,"n",14,"",4,1,"sitePictures/C139a.png","sitePictures/C139b.png","sitePictures/C139c.png","sitePictures/C139d.png"
"133","rocks & minerals","","C140","Till on silt core of drumlin","","44.371778",-78.096389,"Elongate drumlin along axis of Peterborough Drumlin Field showing till resting erosively on core of glaciolacustrine silt. This illustrates the importance of incorporation of mixing of fine sediment with limestone debris to create till (see sites <a href=""/E69"">E69</a>, <a href=""/C143"">C143</a>, <a href=""/C144"">C144</a>)","y",44.371778,-78.096389,35.75836585,0,-12.49167453,"n",14,"",4,2,"sitePictures/C140a.png","sitePictures/C140b.png","sitePictures/C140c.png","sitePictures/C140d.png"
"134","Earth History","","C141","Keene Drumlin","","44.3042",-78.213192,"This large pit exposes the core of a large elongated drumlin along the axis of the Peterborough Drumlin Filed (PDF).  A till carapace of varying thickness truncates subaqueously-deposited outwash and fine-grained glaciolacustrine facies. These deposits occur widely below the PDF and were mixed with limestone debris to form the thick tills within drumlins (sites <a href=""/E69"">E69</a>, <a href=""/C143"">C143</a>, <a href=""/C144"">C144</a>). This exposure is in the area of the PDF where larger ovoid drumlins have been straightened and elongated by faster ice flow velocities along the axis of the Peterborough Drumlin Field.

This is a gated private quarry and permission must be obtained from the owner to enter the site","n",NA,NA,NA,NA,NA,"n",14,"",6,1,"sitePictures/C141a.png","sitePictures/C141b.png","sitePictures/C141c.png","sitePictures/C141d.png"
"135","rocks & minerals","","C142","Drumlin exposure south of Burnley:  Haldiman Township Pit #1","","44.140132",-78.002878,"This pit exposes the glaciofluvial-glaciolacustrine gravel and sand core of a large 20 m high ovoid drumlin. A till carapace is lacking and drumlin surface truncates the core suggesting an entirely erosional origin.

This is a gated private quarry and permission must be obtained from the owner to enter the site","y",44.140045,-78.002825,84.74717495,2,-7.229734371,"n",14,"",4,2,"sitePictures/C142a.png","sitePictures/C142b.png","sitePictures/C142c.png","sitePictures/C142d.png"
"136","rocks & minerals","","C143","Till of drumlin crest southwest of Warkworth on Hiway 29","","44.17192",-77.91826,"This till is typical of the matrix-rich tills found within drumlins of the Peterborough Drumlin Field reflecting mixing of limestone debris derived from the limestone plains to the north with fine sediment overrun by the ice sheet (contrast with Sites <a href=""/E69"">E69</a>, <a href=""/C144"">C144</a>).","n",NA,NA,NA,NA,NA,"n",14,"",4,2,"sitePictures/C143a.png","sitePictures/C143b.png","sitePictures/C143c.png","sitePictures/C143d.png"
"137","rocks & minerals","","C144","Drumlin with stony till","","44.3159",-77.66693,"Drumlins in the northernmost reaches of the Peterborough Drumlin Field immediately downglacier of the limestone plains to the north often show stony ‘immature’ till dominated by limestone debris with a silt sand matrix. Further south tills become more fine grained as a result of extended glacial transport and mixing with pre-existing fine sediment below the drumlin field (e.g., Sites <a href=""/C140"">C140</a>, <a href=""/C143"">C143</a>).","y",44.3159,-77.66693,196.8602752,0,-27.1919257,"n",14,"",4,NA,"sitePictures/C144a.png","sitePictures/C144b.png","sitePictures/C144c.png","sitePictures/C144d.png"
"138","rocks & minerals","","C145","Rock drumlin on 14th Line","","44.410583",-77.765917,"","y",NA,NA,163.5370587,NA,-16.23581246,"n",14,"",4,NA,"sitePictures/C145a.png","sitePictures/C145b.png","sitePictures/C145c.png","sitePictures/C145d.png"
"139","Earth History","","C146","Rock drumlinized limestone plains","","44.390808",-78.798917,"East of Lake Simcoe, between Highway 12 and Sturgeon Lake is a broad expanse of Ordovician limestone plain with thin soil cover. It has been spectacularly streamlined by glacial erosion resulting in many bullet-shaped ‘rock drumlins’ with their noses oriented to the northeast indicating southwest flow of the ice sheet. These were cut at the same time as the drumlins of the Peterborough Drumlin Field to the southeast (e.g., site <a href=""/C138"">C138</a>).","n",NA,NA,NA,NA,NA,"n",14,"",6,NA,"sitePictures/C146a.png","sitePictures/C146b.png","sitePictures/C146c.png","sitePictures/C146d.png"
"140","Earth History","","C147","ONROUTE 401 rest stop on prominent rock drumlin","","44.1092",-77.659867,"The broad bedrock rise underlying the Hiway 401 ONROUTE rest area some 4 km west of Trenton is in fact a large rock drumlin oriented southwest-northeast created by glacial streamlining of Ordovician limestone (see site <a href=""/C31"">C31</a>). It occurs along the southern margin of the Peterborough Drumlin Field where thousands of drumlins have been carved across sediment (site <a href=""/C148"">C148</a>).","y",NA,NA,139.3181005,NA,-11.14647594,"n",14,"",6,NA,"sitePictures/C147a.png","sitePictures/C147b.png","sitePictures/C147c.png","sitePictures/C147d.png"
"141","Earth History","","C148","Dummer landscape south of the Marmoraton Iron Mine (site C35)","","44.41965",77.641583,"Hummocky bouldery Dummer Moraine is well seen along St. Marks Road where it covers limestone plains immediately south of the Shield. This landscape records glacial erosion of large amounts of limestone from limestone escarpments by the last ice sheet (Site <a href=""/C48"">C48</a>) and is characteristic of much of the boundary area between the Shield and Paleozoics in central Ontario.","n",NA,NA,NA,NA,NA,"n",14,"",6,NA,"sitePictures/C148a.png","sitePictures/C148b.png","sitePictures/C148c.png","sitePictures/C148d.png"
"142","Earth History","130","E1","Barron Canyon, Algonquin Park","Ancient outlet for the Great Lakes","45.88483333",-77.63433333,"Algonquin Park has more than 1,500 kilometres of canoe routes but the best stretch of water is in Barron Canyon on the southeast corner of the park. Some 10,000 years ago, enormous volumes of water from the thawing Laurentide <a href=""/def/ice_sheet"">Ice sheet</a> thundered down the Ottawa Valley. The 100 metres deep Barron Canyon is one of the most spectacular (and most accessible) spots in Algonquin Park and was cut by meltwater escaping to the Champlain Sea (Site <a href=""/E39"">E39</a>). These cold, sediment-laden waters created the barren rock-strewn appearance of much of the park. Stands of sub-Arctic and Arctic plants still survive from that time.","n",NA,NA,NA,NA,NA,"y",15,"a",1,NA,"sitePictures/e1a.png","sitePictures/e1b.png","sitePictures/e1c.png","sitePictures/e1d.png"
"143","Rocks and Minerals","131","E2","Limerick Dam Marble","","45.58616667",-76.67016667,"Bands of white <a href=""/def/marble"">Marble</a> are conspicuous  and easily recognizable across the Canadian <a href=""/def/shield"">Shield</a> in central and eastern Ontario, often associated names like Whiterock, Whitestone, etc (Site <a href=""/E4"">E4</a>). The quality of the <a href=""/def/marble"">Marble</a> is usually poor although locally it has made very good building material. <a href=""/def/marble"">Marble</a> is produced by the alteration of <a href=""/def/limestone"">Limestone</a> under great heat and <a href=""/def/pressure"">Pressure</a>. This occurred a billion years ago during the Grenville <a href=""/def/orogeny"">Orogeny</a>. Limerick Dam has a superb <a href=""/def/outcrop"">Outcrop</a> pockilometresarked by potholes cut by the same meltwaters that eroded Barron Canyon at the end of the last <a href=""/def/ice_age"">Ice age</a> (Site <a href=""/E1"">E1</a>) Note, there are excellent example of potholes at this site.","y",NA,NA,104.03,0,8.73,"y",14,"a",5,NA,"sitePictures/e2a.png","sitePictures/e2b.png","sitePictures/e2c.png","sitePictures/e2d.png"
"144","Rocks and Minerals","132","E3","Bonnechere Caves","Rivers Underground","45.50466667",-77.009,"The Bonnechere Caves, near Renfrew, are beautiful, dark caverns formed by the slow action of water dissolving <a href=""/def/limestone"">Limestone</a>. These caves are an excellent example of<a href=""/def/_karst ""> Karst </a>caves which are caused by the slightly acidic rain water chemically <a href=""/def/weathering"">Weathering</a> <a href=""/def/limestone"">Limestone</a> and <a href=""/def/dolostone"">Dolostone</a> formations. This causes the widening of <a href=""/def/joints"">Joints</a> in the <a href=""/def/limestone"">Limestone</a> and <a href=""/def/dolostone"">Dolostone</a>, subsequently creating conduit like caves.","n",NA,NA,NA,NA,NA,"n",14,"a",5,NA,"sitePictures/e3a.png","sitePictures/e3b.png","sitePictures/e3c.png","sitePictures/e3d.png"
"145","Rocks and Minerals","133","E4","Trans-Canada Highway Marble","","45.494481",-76.668981,"Striking white <a href=""/def/outcrops"">Outcrops</a> of massive <a href=""/def/marble"">Marble</a> occur at the intersection of Highway 17 (Trans-Canada Highway) and Highway 20 (Castleford Road) just north of Renfrew along the Ottawa Valley. ","y",NA,NA,230.56,0,0.71,"n",16,"a",5,NA,"sitePictures/e4a.png","sitePictures/e4b.png","sitePictures/e4c.png","sitePictures/e4d.png"
"146","Rocks and Minerals","134","E5","Graphite","(Or why J.W. Dawson was half right after all...)","45.22166667",-76.9105,"Southern Ontario was the largest producer of graphite in the world in the years leading up to the First World War. Graphite is a very common<a href=""/def/_mineral ""> Mineral </a>among rocks of the Grenville <a href=""/def/province"">Province</a> and thick <a href=""/def/veins"">Veins</a> were mined at Black Donald along the Madawaska River near Calabogie. Graphite is used in pencils but is also a lubricant. When graphite fibres are twisted and cemented into epoxy they form strong carbon fibres. Today the mine lies flooded under a reservoir, it's important heritage hidden from view.","n",NA,NA,NA,NA,NA,"n",13,"a",5,NA,"sitePictures/e5a.png","sitePictures/e5b.png","sitePictures/e5c.png","sitePictures/e5d.png"
"147","Rocks and Minerals","135","E6","Gull River Formation","Burleigh Falls Unconformity","0",0,"You can find one of these rarely exposed unconformities on Highway 36, 3.7 kilometres west of Burleigh Falls. Here, <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> (<a href=""/def/shales"">Shales</a> and pebbly <a href=""/def/conglomerates"">Conglomerates</a>) of the Shadow Lake<a href=""/def/formations"">Formations</a>ome 500 million year-old, rest unconformable on steeply-dipping 1.1 billion years old Grenville <a href=""/def/gneisses"">Gneisses</a> and <a href=""/def/diorites"">Diorites</a>. Right at the top of this fine <a href=""/def/outcrop"">Outcrop</a> are white coloured <a href=""/def/limestone"">Limestone</a> that belong to the Gull River<a href=""/def/formations"">Formations</a>ome 460 million years old.  ","n",NA,NA,NA,NA,NA,"n",16,"",5,NA,"sitePictures/e6a.png","sitePictures/e6b.png","sitePictures/e6c.png","sitePictures/e6d.png"
"148","Earth History","136","E7","Mazinaw Rock and Bon Echo Provincial Park","Plutons and Faults","44.90033333",-77.20216667,"You can find one of these rarely exposed unconformities on Highway 36, 3.7 kilometres west of Burleigh Falls. Here, <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> (<a href=""/def/shales"">Shales</a> and pebbly <a href=""/def/conglomerates"">Conglomerates</a>) of the Shadow Lake<a href=""/def/formations"">Formations</a>ome 500 million year-old, rest unconformable on steeply-dipping 1.1 billion year old Grenville <a href=""/def/gneisses"">Gneisses</a> and <a href=""/def/diorites"">Diorites</a>. Right at the top of this fine <a href=""/def/outcrop"">Outcrop</a> are white coloured <a href=""/def/limestone"">Limestone</a> that belong to the Gull River<a href=""/def/formations"">Formations</a>ome 460 million years old.  ","n",NA,NA,NA,NA,NA,"n",13,"a",1,NA,"sitePictures/e7a.png","sitePictures/e7b.png","sitePictures/e7c.png","sitePictures/e7d.png"
"149","Earth History","137","E8","Pillow Lava","Ancient Ocean Crust","44.799606",-77.179513,"<a href=""/def/basalt"">Basalt</a>ic <a href=""/def/lava"">Lava</a> that erupts underwater at mid-oceanic ridges, in hot spots such as Hawaii, or along rifts, produces pillow <a href=""/def/lava"">Lava</a>.  Excellent examples of ancient pillows occur 2 kilometres south of Cloyne at the intersection of Highway 41 and Frontenac County Road 506. These are part of the Tudor<a href=""/def/_formation ""> Formation </a>and were formed 1,280 million years ago during the Grenville <a href=""/def/orogeny"">Orogeny</a>.","y",NA,NA,79.76,0,4.85,"n",15,"a",1,NA,"sitePictures/e8a.png","sitePictures/e8b.png","sitePictures/e8c.png","sitePictures/e8d.png"
"150","Earth History","138","E9","Metamorphosed Cobbles at Kaladar","Stretched to the Limit","44.67316667",-77.143,"Kaladar is part of the Central <a href=""/def/metasediment"">Metasediment</a>ary Belt and is one of the best places in Southern Ontario to see examples of how rocks are squeezed and altered under great heat and <a href=""/def/pressure"">Pressure</a>, a process called '<a href=""/def/metamorphism"">Metamorphism</a>.' This occurred during the Grenville <a href=""/def/orogeny"">Orogeny</a> a billion years ago, when North America collided with South America and <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> were compressed, buried and metamorphosed. The rocks at Kaladar are <a href=""/def/conglomerates"">Conglomerates</a> where individual rounded cobbles were heated and stretched out like toffee. Another <a href=""/def/outcrop"">Outcrop</a> can be found on the east side of Highway 41 immediately north of North Brook.","y",NA,NA,296.48,0,0.55,"n",14,"a",1,NA,"sitePictures/e9a.png","sitePictures/e9b.png","sitePictures/e9c.png","sitePictures/e9d.png"
"151","Earth History","139","E10","Highway 7 Unconformity","","44.50183333",-77.52716667,"An <a href=""/def/unconformity"">Unconformity</a> is simply a missing chapter (or gap) in the rock record where time went unrecorded by any rocks. An <a href=""/def/unconformity"">Unconformity</a> between billion year old rocks at the base and 500 million years old rocks above occurs on the north side of Highway 7 east of Marmora. Large cobbles occur along the <a href=""/def/unconformity"">Unconformity</a> recording the <a href=""/def/erosion"">Erosion</a> of the older rocks prior to flooding by a warm shallow sea during the <a href=""/def/ordovician"">Ordovician</a> (See Also <a href=""/C56"">C56</a>, <a href=""/C57"">C57</a>, <a href=""/E13"">E13</a>, <a href=""/E14"">E14</a>, <a href=""/E41"">E41</a>, <a href=""/E43"">E43</a>).","y",NA,NA,326.59,0,-1.97,"n",16,"a",1,NA,"sitePictures/e10a.png","sitePictures/e10b.png","sitePictures/e10c.png","sitePictures/e10d.png"
"152","Earth History","140","E11","Hell Hole Caves","","44.38986667",-76.99551667,"Like many other caves in Ontario, the Hell Holes in Centreville are ""<a href=""/def/fissure"">Fissure</a>"" caves formed where the edge of a <a href=""/def/limestone"">Limestone</a> <a href=""/def/outcrop"">Outcrop</a> tilts downward and opens up deep cracks. The <a href=""/def/fissures"">Fissures</a> slowly widen into caves as acidic water dissolves the surrounding <a href=""/def/limestone"">Limestone</a>, a process called ""chemical <a href=""/def/dissolution"">Dissolution</a>"" that also affects the openings at Warsaw Caves and along the edges of the Niagara <a href=""/def/escarpment"">Escarpment</a>.","n",NA,NA,NA,NA,NA,"y",14,"",1,NA,"sitePictures/e11a.png","sitePictures/e11b.png","sitePictures/e11c.png","sitePictures/e11d.png"
"153","Earth History","141","E12","Holleford Meteorite Crater","","44.45571667",-76.62771667,"The Holleford Crater 25 kilometres north of Kingston was discovered in 1955 and was determined to have been caused by a <a href=""/def/meteorite"">Meteorite</a> 100 metres in diametre and traveling 50 000 kilometres an hour. The overall shape of the Holleford Crater can easily be seen from the road that passes along its southern margin. The 30 metre deep saucer has been made shallower due to the compaction of <a href=""/def/limestone"">Limestone</a>.","y",NA,NA,308.63,0,-6.69,"y",13,"",1,NA,"sitePictures/e12a.png","sitePictures/e12b.png","sitePictures/e12c.png","sitePictures/e12d.png"
"154","Earth History","142","E13","Unconformity at Inverary","","44.38316667",-76.46101667,"The unconformity between the underlying Shield (gneisses of the Grenville Province) and overlying Paleozoics (Ordovician Shadow Lake Formation) is seen at numerous sites around Kingston (sites <a href=""/E14"">E14</a>, <a href=""/E42"">E42</a>) where the buried Shield surface below Paleozoic carbonates slowly rises eastward to be exposed as the Frontenac Arch. This encloses the eastern end of Lake Ontario separating it from the St.Lawrence River which flows through the Thousand Islands District east of Kingston, and is now part of a 3700 km-long international waterway: the St.Lawrence Seaway (otherwise known as Hwy H2O) completed in 1959 which allows ocean-going vessels to reach the western end of Lake Superior.  

At Sunbury and at Highway 7 east of Marmora (Site <a href=""/E10"">E10</a>), you can find the same <a href=""/def/unconformity"">Unconformity</a> surface exposed to view. At Sunbury, look for the thin dark vertical bands of rock cutting through the <a href=""/def/gneiss"">Gneiss</a> but not the <a href=""/def/unconformity"">Unconformity</a>. These are igneous dikes that are actually younger than the <a href=""/def/gneisses"">Gneisses</a> but predate cutting of the <a href=""/def/unconformity"">Unconformity</a>.","y",NA,NA,181.55,0,11.64,"n",16,"",1,NA,"sitePictures/e13a.png","sitePictures/e13b.png","sitePictures/e13c.png","sitePictures/e13d.png"
"155","Earth History","143","E14","Abbey Dawn Unconformity","","44.265943",-76.383833,"Southern Ontario has several magnificent examples of unconformities (gaps) between the billion years old hard <a href=""/def/shield"">Shield</a> rocks of the Grenville <a href=""/def/province"">Province</a> and much younger (500 million years) <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> (e.g., <a href=""/E13"">E13</a>). Think of a book with a missing chapter. The <a href=""/def/unconformity"">Unconformity</a> one at Abbey Dawn is marked by large rounded boulders which probably formed on a beach surrounding islands of <a href=""/def/shield"">Shield</a> rocks standing high above a <a href=""/def/paleozoic"">Paleozoic</a> sea (See <a href=""/C22"">C22</a>). Islands were later buried below thick <a href=""/def/limestones"">Limestones</a> (Site <a href=""/E41"">E41</a>).","y",NA,NA,10.45,0,-4.56,"n",16,"",1,NA,"sitePictures/e14a.png","sitePictures/e14b.png","sitePictures/e14c.png","sitePictures/e14d.png"
"156","Earth History","144","E15","Geologic Columns","Tracking Weird Structures in the Potsdam Sandstone","44.347",-76.39283333,"One of the oldest <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> in eastern Ontario is the Potsdam <a href=""/def/sandstone"">Sandstone</a> which has structures that have puzzled geologists for over a century. The <a href=""/def/sandstone"">Sandstone</a> shows vertical cylindrical columns, that were quarried and used for store fronts in Kingston, possibly caused by expulsion of water during an earthquake along with the sediment. Elsewhere it shows tracks made by the first organisms to ever venture on land.","n",NA,NA,NA,NA,NA,"n",16,"",1,NA,"sitePictures/e15a.png","sitePictures/e15b.png","sitePictures/e15c.png","sitePictures/e15d.png"
"157","Rocks and Minerals","145","E16","Marble Rock","","44.379683",-76.173825,"<a href=""/def/marble"">Marble</a> Rock is easily accessible some 4 kilometres north of Highway 401 (Exit 659) near Gananoque. It is an excellent <a href=""/def/outcrop"">Outcrop</a> of coarse-grained <a href=""/def/marble"">Marble</a> about a billion years old.","y",NA,NA,344.81,0,4.88,"n",16,"",5,NA,"sitePictures/e16a.png","sitePictures/e16b.png","sitePictures/e16c.png","sitePictures/e16d.png"
"158","Nature","146","E17","Thousand Islands","Lake Ontario ends and the St. Lawrence River begins","44.832759",-75.311969,"East of Kingston near Gananoque, the St. Lawrence River flows across a major geological structure called the Frontenac Arch creating a myriad of islands, some large, most small and collectively known as the Thousand Islands. (The area was named Lac des Milles-Iles by the French in 1615.) There are in fact some 1,500 islands in the region. Also explore Fort Henry in Kingston which was constructed between 1812 and 1837 to protect the Rideau Canal. ","n",NA,NA,NA,NA,NA,"y",16,"",4,NA,"sitePictures/e17a.png","sitePictures/e17b.png","sitePictures/e17c.png","sitePictures/e17d.png"
"159","Nature","147","E18","Charleston Lake Provincial Park","A Piece of New York's Adirondack Mountains","44.49638333",-76.04111667,"Charleston Lake Provincial Park sits atop the Frontenac Arch, a bulge in the underlying basement that brings old rocks to surface. To the north (toward Ottawa) and to the south (toward Kingston), younger <a href=""/def/sedimentary_rocks"">Sedimentary rocks</a> lap up onto the arch but do not completely cover it. The area lies within a subdivision of the Central Meta-sedimentary Belt (also called the Frontenac Terrane), which is an extension of the Adirondack Mountains of upper New York State.  Along the <a href=""/def/sandstone"">Sandstone</a> Island Trail there lays a 6 metre boulder <a href=""/def/conglomerate"">Conglomerate</a> layer marking the <a href=""/def/unconformity"">Unconformity</a> between <a href=""/def/precambrian"">Precambrian</a> and <a href=""/def/paleozoic"">Paleozoic</a> rocks.","n",NA,NA,NA,NA,NA,"n",16,"",4,NA,"sitePictures/e18a.png","sitePictures/e18b.png","sitePictures/e18c.png","sitePictures/e18d.png"
"160","Historic","148","E19","Battle of the Windmill","Banished to Australia","44.72083333",-75.487,"The fine windmill atop a cliff some 2 kilometres downstream (East) of Prescott is made of large <a href=""/def/limestone"">Limestone</a> blocks providing a commanding view of the St. Lawrence River below. It was the scene of a famous skirmish in November 1838 between members of a secret society (the Hunters Lodge) and elements of the British Army supported by local militias.","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/e19a.png","sitePictures/e19b.png","sitePictures/e19c.png","sitePictures/e19d.png"
"161","Earth History","149","E20","Creeping Clays at Galop Canal","","44.78893",-75.381526,"The Galop Canal was built between 1844 to 1846 to avoid bypass rapids along the St.Lawrence near the present-day community of Cardinal on Highway 2, about 3 kilometres south of Highway 401. The canal was dug into soft clays left by the Champlain Sea that flooded the St. Lawrence valley at the end of the last glaciation some 11,000 years ago (Site <a href=""/E39"">E39</a>). Since then the sidewalls of the now disused canal have slid down slope serving as a graphic example of the kind of slope failure typical in these problematic<a href=""/def/_clay ""> Clay </a>deposits.","y",NA,NA,36.8,0,1.34,"n",16,"",1,NA,"sitePictures/e20a.png","sitePictures/e20b.png","sitePictures/e20c.png","sitePictures/e20d.png"
"162","Earth History","150","E21","Champlain's Lookout Over the Ottawa Graben","","45.50866667",-75.91083333,"The Ottawa <a href=""/def/graben"">Graben</a> is a huge piece of down down-dropped<a href=""/def/_crust ""> Crust </a>that is part of what is called a failed rift.  The Earth's<a href=""/def/_crust ""> Crust </a>broke when <a href=""/def/rodinia"">Rodinia</a> broke and drifted apart some 650 million years ago freeing North America from Europe and South America into which it had been locked during the earlier Grenville <a href=""/def/orogeny"">Orogeny</a>. Some 450 million years later history repeated itself when this part of Canada was stretched once again during the late Jurassic when North America broke off from Europe as the Atlantic Ocean opened during the breaking of <a href=""/def/pangea"">Pangea</a>. Several prominent faults are exposed close to Ottawa.","n",NA,NA,NA,NA,NA,"y",16,"",1,NA,"sitePictures/e21a.png","sitePictures/e21b.png","sitePictures/e21c.png","sitePictures/e21d.png"
"163","Fossils","151","E22","Ottawa River Stromatolites","Bacteria that Build and Breathe","45.412075",-75.763607,"At river level beside the Samuel de Champlain Park parking lot on the Quebec shore of the Ottawa River, early <a href=""/def/ordovician"">Ordovician</a> <a href=""/def/dolostones"">Dolostones</a> of the Ottawa<a href=""/def/_group ""> Group </a>display large numbers of well-exposed <a href=""/def/stromatolites"">Stromatolites</a> mounds. These were built by communities of blue-green algae called <a href=""/def/cyanobacteria"">Cyanobacteria</a> several hundred million years ago. ","y",45.411907,-75.763808,222.84,0,6.22,"y",17,"",2,NA,"sitePictures/e22a.png","sitePictures/e22b.png","sitePictures/e22c.png","sitePictures/e22d.png"
"164","Historic","152","E23","Parliament Hill","","45.425082",-75.699921,"When the English novelist Anthony Trollope visited Ottawa in the mid-nineteenth century, he observed that ""the glory of Ottawa will be - and indeed, already is - the set of public buildings which is now being erected on the rock."" Ottawa is indeed endowed with a uniquely impressive geological setting where the Parliament Buildings sit on a prominent bluff overlooking the Ottawa River.","y",45.423349,-75.698354,336.24,0,-10.15,"n",17,"",3,NA,"sitePictures/e23a.png","sitePictures/e23b.png","sitePictures/e23c.png","sitePictures/e23d.png"
"165","Earth History","153","E24","Nepean Point and Samuel de Champlain","","45.4295",-75.70116667,"French navigator and explorer Samuel de Champlain (1567-1635) founded the city of Quebec in 1608, later exploring the Ottawa River and much of what is now central Ontario. The statue on Nepean Point commemorates the 300th anniversary of his second ascent up the Ottawa River in 1615. On the same journey, Champlain reached the present-day French River (Site <a href=""/N20"">N20</a>) and Lake Nipissing (Site <a href=""/N68"">N68</a>), eventually arriving at Lake Huron which he called Lac Attigouautau or La Mer Douce, the Freshwater Sea. Champlain spent the winter with the Huron peoples and recorded his experiences in detailed journals. The statue on Nepean Point depicts him holding a navigational instrument called an 'astrolabe.' Unfortunately, due to an error by the sculptor, the astrolabe is upside down! The prominent cliff below Champlain's statue is composed of <a href=""/def/limestone"">Limestone</a> of the <a href=""/def/ordovician"">Ordovician</a> Ottawa<a href=""/def/_group ""> Group </a>that also occur right below the Parliament Buildings nearby (<a href=""/E23"">E23</a>).  Another famous statue of Samuel can be found in Orillia (Site <a href=""/C74"">C74</a>).","y",NA,NA,342.91,0,-20.61,"n",17,"",1,NA,"sitePictures/e24a.png","sitePictures/e24b.png","sitePictures/e24c.png","sitePictures/e24d.png"
"166","Historic","154","E25","Rideau Canal","The World's Longest Skating Rink","45.42616667",-75.69783333,"The Rideau Canal was completed in 1832. It is the longest continuously operated, completed canal system in the world. The Canal bypassed the St. Lawrence River rapids and potential menace of American forces along the border thereby providing safe passage for men and supplies from Ottawa to Kingston. The small community built at the canal's northern terminus on the Ottawa River became the nation's capital in 1858 and the canal itself a favoured route for settlers moving to western Canada.","y",NA,NA,88.39,0,0.08,"n",17,"",3,NA,"sitePictures/e25a.png","sitePictures/e25b.png","sitePictures/e25c.png","sitePictures/e25d.png"
"167","Historic","155","E26","Geological Survey Of Canada","","45.40166667",-75.70583333,"When in Ottawa be sure to visit the Geological Survey of Canada Headquarters at 601 Booth Street. There is an excellent museum and bookstore on the ground floor. The original office of the Geological Survey of Canada can be found on Sussex Street.","y",NA,NA,66.44,0,-20.85,"n",16,"",3,NA,"sitePictures/e26a.png","sitePictures/e26b.png","sitePictures/e26c.png","sitePictures/e26d.png"
"168","Earth History","156","E27","Hog's Back Falls","Faults","45.367",-75.69966667,"The Rock visible under the Parliament Buildings from the Ottawa River is Ottawa<a href=""/def/_formation ""> Formation </a><a href=""/def/limestone"">Limestone</a>. From the river itself (if you have a boat), the cliff beneath the Supreme Court to the west of the Parliament Buildings, shows evidence of <a href=""/def/normal_fault"">Normal fault</a>ing. Here, the rock layers lose their parallel bedding and curve upward along the fault. The Ottawa area is cut by many similar faults created during periods of extension, as the continent was stretched to the breaking point by plate tectonic processes","n",NA,NA,NA,NA,NA,"n",16,"",1,NA,"sitePictures/e27a.png","sitePictures/e27b.png","sitePictures/e27c.png","sitePictures/e27d.png"
